Nome,Modalidade,Nivel,Agência
BRUNO RAMOS NASCIMENTO,PQ,2,CNPq
BRUNO SOUZA LEAL,PQ,1D,CNPq
CAMILA ARGENTA FANTE,PQ,C,CNPq
CAMILA COSTA DE AMORIM AMARAL,PQ,C,CNPq
CAMILA STEFANIE FONSECA DE OLIVEIRA,PQ,C,CNPq
CARLA JORGE MACHADO,PQ,1D,CNPq
CARLOS ALBERTO AVILA ARAUJO,PQ,C,CNPq
CARLOS ALBERTO CIMINI JUNIOR,PQ,C,CNPq
CARLOS ALBERTO DE CARVALHO,PQ,2,CNPq
CARLOS ALBERTO TAGLIATI,DT,2,CNPq
CARLOS ANDREY MAIA,PQ,C,CNPq
CARLOS AUGUSTO ROSA,PQ,1A,CNPq
CARLOS BASILIO PINHEIRO,PQ,1D,CNPq
CARLOS DELFIN CHAVEZ OLORTEGUI,PQ,1A,CNPq
CARLOS EDUARDO VELASQUEZ CABRERA,PQ,C,CNPq
CARLOS FREDERICO DE BRITO D ANDREA,PQ,C,CNPq
CARLOS HENRIQUE MONKEN,PQ,1A,CNPq
CARLOS MAGNO CAMARGOS MENDONCA,PQ,2,CNPq
CARLOS RENATO MACHADO,PQ,1C,CNPq
CAROLINA CAVALIERI GOMES,PQ,1D,CNPq
CASSIO GONCALVES DO REGO,PQ,2,CNPq
CASSIO MALDONADO TURRA,PQ,B,CNPq
CESAR GERALDO GUIMARAES,PQ,2,CNPq
CESAR NARDELLI CAMBRAIA,PQ,1D,CNPq
CESAR ROSSAS MOTA FILHO,PQ,1D,CNPq
CHRISTIAN FERNANDES,PQ,2,CNPq
CHRISTIANNE LUCE GOMES,PQ,1D,CNPq
CHRISTINA DANIELLI COELHO DE MORAIS FARIA,PQ,1D,CNPq
CINTIA APARECIDA CHAGAS,PQ,C,CNPq
CLARYSSON ALBERTO MELLO DA SILVA,PQ,C,CNPq
CLAUBIA PEREIRA BEZERRA LIMA,PQ,1B,CNPq
CLAUDIA FERES FARIA,PQ,C,CNPq
CLAUDIA REGINA LINDGREN ALVES,PQ,2,CNPq
CLAUDIO SANTIAGO DIAS JUNIOR,PQ,C,CNPq
CLAYSSON BRUNO SANTOS VIMIEIRO,DT,2,CNPq
CLEIDA APARECIDA DE OLIVEIRA,PQ,C,CNPq
CLEITON MOREIRA DA SILVA,PQ,2,CNPq
CLEMENS PETER SCHLINDWEIN,PQ,1C,CNPq
CLESIA CRISTINA NASCENTES,PQ,2,CNPq
CLODOVEU AUGUSTO DAVIS JUNIOR,PQ,C,CNPq
CONSTANTINO LUZ DE MEDEIROS,PQ,2,CNPq
CRISTIANA LIBARDI MIRANDA FURTADO,PQ,2,CNPq
CRISTIANE BACCIN BENDO NEVES,PQ,C,CNPq
CRISTIANO FANTINI LEITE,PQ,1C,CNPq
CRISTIANO LEITE DE CASTRO,PQ,C,CNPq
