Nome,Modalidade,Nivel,Agência
TALITA FERNANDA DAS GRACAS SILVA,PQ,2,FAPEMIG
ALLAN CLAUDIUS QUEIROZ BARBOSA,PQ,2,CNPq
RICARDO TOSHIO FUJIWARA,PQ,1B,CNPq
RENES DE RESENDE MACHADO,PQ,C,CNPq
FLAVIO DE LEMOS CARSALADE,PQ,C,CNPq
PEDRO VASCONCELOS MAIA DO AMARAL,PQ,2,CNPq
CARLOS EDUARDO VELASQUEZ CABRERA,PQ,C,CNPq
PAULO SERGIO NASCIMENTO LOPES,PQ,C,CNPq
LUCAS BLEICHER,PQ,2,CNPq
MARCELO RIZZATTI LUIZON,PQ,1D,CNPq
ADALBERTO JOSE DOS SANTOS,PQ,1D,CNPq
ALEXANDRE MENDES ABRAO,PQ,1A,CNPq
RODNEY REZENDE SALDANHA,PQ,1B,CNPq
DIEGO RODRIGUES MACEDO,PQ,2,CNPq
WILLIAN RICARDO ROCHA,PQ,1C,CNPq
FERNANDO MAGNO QUINTAO PEREIRA,PQ,1D,CNPq
VIRGINIA SAMPAIO TEIXEIRA CIMINELLI,PQ,1A,CNPq
LEONARDO JOSE CAMARGOS LARA,PQ,1D,CNPq
ANGELA CRISTINA SALGUEIRO MARQUES,PQ,B,CNPq
ROGERIO MAGALHAES PANIAGO,PQ,1C,CNPq
HELOISA DE OLIVEIRA BERALDO,PQ,1A,CNPq
GISELA PATRICIA ZAPATA ARAUJO,PQ,2,CNPq
WANDER LUIZ VASCONCELOS,PQ,A,CNPq
FERNANDA RADICCHI CAMPOS LOBATO DE ALMEIDA,PQ,2,CNPq
JACQUELINE VENEROSO ALVES DA CUNHA,PQ,2,CNPq
RENATO SANTIAGO GOMEZ,PQ,2,CNPq
GILIANE DE SOUZA TRINDADE,PQ,1B,CNPq
CARLOS ALBERTO AVILA ARAUJO,PQ,C,CNPq
JURI CASTELFRANCHI,PQ,2,CNPq
GILBERTO MEDEIROS RIBEIRO,PQ,1B,CNPq
DEBORAH CARVALHO MALTA,PQ,A,CNPq
FABIANO VARGAS PEREIRA,PQ,2,CNPq
PATRICIA DIAS FRANCA HUCHET,PQ,2,CNPq
CESAR ROSSAS MOTA FILHO,PQ,1D,CNPq
ADRIANA ARAUJO PEREIRA BORGES,PQ,C,CNPq
MIRELA CASTRO SANTOS CAMARGOS,PQ,2,CNPq
SILVIA CAROLINA GUATIMOSIM FONSECA,PQ,1B,CNPq
CARLOS HENRIQUE MONKEN,PQ,1A,CNPq
LUIZ ARNALDO FERNANDES,PQ,2,CNPq
MARCEL GIOVANNI COSTA FRANCA,PQ,B,CNPq
LEONARDO HUMBERTO REZENDE DOS SANTOS,PQ,2,CNPq
JOSE GUILHERME COELHO BAETA,PQ,2,CNPq
FERNANDO MARCOS DOS REIS,PQ,1A,CNPq
CARLA JORGE MACHADO,PQ,1D,CNPq
PEDRO HENRIQUE RODRIGUES PEREIRA,PQ,C,CNPq
MAGNA MARIA INACIO,PQ,2,CNPq
ELSON JOSE DA SILVA,PQ,2,CNPq
FERNANDO HENRIQUE SILVEIRA,PQ,C,CNPq
GABRIEL JUBE UHLEIN,PQ,2,CNPq
ANDRE JOFFILY ABATH,PQ,2,CNPq
EDUARDO ROMEIRO FILHO,PQ,C,CNPq
MARIA CAROLINA DE OLIVEIRA AGUIAR,PQ,2,CNPq
CINTIA APARECIDA CHAGAS,PQ,C,CNPq
RODINEI AUGUSTI,PQ,1C,CNPq
PAULA DE MIRANDA RIBEIRO,PQ,1C,CNPq
RENATA BARBOSA DE OLIVEIRA,DT,2,CNPq
SERGIO WILLIAM VIANA PEIXOTO,PQ,1C,CNPq
DIANA BAHIA,PQ,2,CNPq
MARIA JACQUELINE RODET,PQ,C,CNPq
RODRYGO LUIS TEODORO SANTOS,PQ,C,CNPq
ANGELA MARIA QUINTAO LANA,PQ,1B,CNPq
JONATAS SANTOS ABRAHAO,PQ,1B,CNPq
RUDOLF HUEBNER,PQ,1D,CNPq
MONICA VIEGAS ANDRADE,PQ,1D,CNPq
HELIO CHACHAM,PQ,1A,CNPq
MARCOS DA SILVA MONTENEGRO,PQ,1C,CNPq
ALCINEI MISTICO AZEVEDO,PQ,C,CNPq
ANA MARIA DE OLIVEIRA GALVAO,PQ,1D,CNPq
EDUARDO NICOLAU DOS SANTOS,PQ,1C,CNPq
FERNAO CASTRO BRAGA,PQ,1D,CNPq
MARIA ESPERANZA CORTES SEGURA,DT,B,CNPq
EDUARDO DA MOTTA E ALBUQUERQUE,PQ,1D,CNPq
EDUARDO COUTINHO DE PAULA,DT,2,CNPq
ANISIO MENDES LACERDA,PQ,2,CNPq
DEBORAH APARECIDA NEGRAO CORREA,PQ,1C,CNPq
MARCELO ANDRADE CATTONI DE OLIVEIRA,PQ,A,CNPq
GISELE CRISTINA FAVERO,PQ,C,CNPq
RAPHAEL ESCORSIM SZAWKA,PQ,1D,CNPq
EDUARDO MARTIN TARAZONA SANTOS,PQ,B,CNPq
RENAN CAMPOS CHISTE,PQ,C,CNPq
ITALO FERNANDO SCOTA CUNHA,PQ,C,CNPq
RAONI BARROS BAGNO,DT,C,CNPq
HELOISA MARIA MURGEL STARLING,PQ,1D,CNPq
FABIANA SIMAO MACHADO,PQ,1C,CNPq
RAQUEL ZANATTA COUTINHO,PQ,C,CNPq
MARIANA SANTOS FELISBINO MENDES,PQ,C,CNPq
MARIO SERGIO DE CARVALHO MAZZONI,PQ,1D,CNPq
RAFAELA SALGADO FERREIRA,PQ,B,CNPq
GILBERTO DE ASSIS LIBANIO,PQ,C,CNPq
ANDRE LUIS BRANCO DE BARROS,PQ,1D,CNPq
CAMILA ARGENTA FANTE,PQ,C,CNPq
LEANDRO MALARD MOREIRA,PQ,1D,CNPq
HEITOR AVELINO DE ABREU,PQ,C,CNPq
ERIKA MARTINS BRAGA,PQ,1B,CNPq
LUIZ CARLOS ALVES DE OLIVEIRA,PQ,1B,CNPq
MARIA DA CONCEICAO FERREIRA REIS FONSECA,PQ,1D,CNPq
LUZIA VALENTINA MODOLO,PQ,2,CNPq
SOFIA MARIA CARRATO DINIZ,PQ,2,CNPq
ULRIKE AGATHE SCHRODER,PQ,C,CNPq
CARLOS DELFIN CHAVEZ OLORTEGUI,PQ,1A,CNPq
MARIA ISABEL DE AZEVEDO,PQ,2,CNPq
JENNER KARLISSON PIMENTA DOS REIS,PQ,2,CNPq
ARISTOTELES GOES NETO,PQ,1D,CNPq
RAFAEL ZAMBELLI DE ALMEIDA PINTO,PQ,1B,CNPq
ERICA AZEVEDO COSTA,PQ,C,CNPq
RODRIGO GUERRA PEIXOTO,PQ,2,CNPq
THALES REZENDE DE SOUZA,PQ,C,CNPq
REMY DE PAIVA SANCHIS,PQ,C,CNPq
MILENE ALVARENGA RACHID,PQ,1C,CNPq
CHRISTIAN FERNANDES,PQ,2,CNPq
ALEXANDRE SALINO,PQ,B,CNPq
ALEXANDRE DE OLIVEIRA CHAVES,PQ,2,CNPq
TACIANA TOLEDO DE ALMEIDA ALBUQUERQUE,PQ,B,CNPq
AURELIANO ANGEL BRESSAN,PQ,2,CNPq
JOAO PRATES ROMERO,PQ,C,CNPq
MARIA DO CARMO PEREIRA NUNES,PQ,1A,CNPq
ROCHEL MONTERO LAGO,PQ,1A,CNPq
MARCELO MACIEL RAMOS,PQ,2,CNPq
CRISTIANA LIBARDI MIRANDA FURTADO,PQ,2,CNPq
JORGE ALEXANDRE BARBOSA NEVES,PQ,C,CNPq
CHRISTIANNE LUCE GOMES,PQ,1D,CNPq
VICTOR FLORES MENDES,PQ,2,FAPEMIG
SIMONE MARIA ROCHA,PQ,2,CNPq
RODRIGO BARRETO CALDAS,PQ,2,CNPq
PATRICIA NASCIMENTO SILVA,PQ,C,CNPq
MARIANGELA LEAL CHERCHIGLIA,PQ,1B,CNPq
EZEQUIEL RODRIGUES BARBOSA,PQ,1B,CNPq
ALEXANDRE DE PADUA CARRIERI,PQ,1A,CNPq
FRANCISCO ANGELO COUTINHO,PQ,2,CNPq
GERCINA ANGELA DE LIMA,PQ,B,CNPq
JAIMA PINHEIRO DE OLIVEIRA,PQ,1D,CNPq
ALINE MAGALHAES PINTO,PQ,C,CNPq
LORENZO TEIXEIRA VITRAL,PQ,2,CNPq
ANDREA MARA MACEDO,PQ,1D,CNPq
SERGIO FREIRE GARCIA,PQ,1D,CNPq
