Nome,Modalidade,Nivel,Agência
RUBEN DARIO SINISTERRA MILLAN,PQ,1B,CNPq
ANA LUCIA BRUNIALTI GODARD,PQ,C,CNPq
FABIOLA MARA RIBEIRO,PQ,2,CNPq
STEPHANE DENIS ALBERT RENE PHILIPPE HUCHET,PQ,2,CNPq
GEORGE LUIZ MEDEIROS TEODORO,PQ,1D,CNPq
LUDMILA MENDONCA LOPES RIBEIRO,PQ,C,CNPq
ALDRI LUIZ DOS SANTOS,PQ,2,CNPq
LYSLEI DE SOUZA NASCIMENTO,PQ,2,CNPq
ROBERT ALDO IQUIAPAZA COAGUILA,PQ,2,CNPq
ERNESTO PERINI FRIZZERA DA MOTA SANTOS,PQ,1B,CNPq
DENISE MARIA TROMBERT DE OLIVEIRA,PQ,2,CNPq
LISANDRA ESPINDULA MOREIRA,PQ,2,CNPq
GERALDO MAGELA DE LIMA,PQ,1D,CNPq
JULIANA ALVARES TEODORO,PQ,C,CNPq
ELEN DE MEDEIROS,PQ,2,CNPq
ANA FLAVIA MACHADO,PQ,2,CNPq
ELAINE AMARAL LEITE,PQ,2,CNPq
SIMONE ODILIA ANTUNES FERNANDES,PQ,C,CNPq
GLAUBER DOS SANTOS FERREIRA DA SILVA,PQ,2,CNPq
MARCO ANTONIO PELIKY FONTES,PQ,1B,CNPq
